,Country,Score,Economy,Family,Health,Freedom,Trust,year
112,Namibia,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,2016
113,Cameroon,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,2016
114,Ethiopia,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,2016
115,South Africa,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,2016
116,Sri Lanka,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,2016
117,India,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,2016
118,Myanmar,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,2016
119,Egypt,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,2016
120,Armenia,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,2016
121,Kenya,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,2016
122,Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,2016
123,Ghana,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,2016
124,Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.06075,2016
125,Georgia,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,2016
126,Congo (Brazzaville),4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,2016
127,Senegal,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,2016
128,Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,2016
129,Mauritania,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,2016
130,Zimbabwe,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,2016
131,Malawi,4.156000000000001,0.08709,0.147,0.29364,0.4143,0.07564,2016
132,Sudan,4.138999999999999,0.63069,0.8192799999999999,0.29759,0.0,0.10039,2016
133,Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,2016
134,Mali,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,2016
135,Haiti,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,2016
136,Botswana,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,2016
137,Comoros,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,2016
138,Ivory Coast,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.1553,2016
139,Cambodia,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,2016
140,Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,2016
141,Niger,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,2016
142,South Sudan,3.832,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,2016
143,Chad,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,2016
144,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,2016
145,Uganda,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,2016
146,Yemen,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,2016
147,Madagascar,3.695,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,2016
148,Tanzania,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,2016
149,Liberia,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,2016
150,Guinea,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,2016
151,Rwanda,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,2016
152,Benin,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,2016
153,Afghanistan,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,2016
154,Togo,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,2016
155,Syria,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,2016
156,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,2016
